Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2010-01-04,33.029,33.7348,33.029,33.7086,1103653
2010-01-05,33.9005,34.2751,33.5954,33.5954,2660663
2010-01-06,33.6738,33.7784,33.3949,33.761,1048390
2010-01-07,33.517,33.7261,33.1161,33.5954,1826689
2010-01-08,33.8568,33.9702,33.3775,33.6826,1674920
2010-01-11,33.6826,34.0398,33.6826,33.9005,2179516
2010-01-12,33.8219,33.8917,33.5082,33.639,2156837
2010-01-13,33.3775,33.8917,33.1685,33.7261,1118569
2010-01-14,33.8917,33.9005,33.5605,33.7261,3757307
2010-01-15,33.7086,33.8568,33.517,33.6215,3325118
2010-01-18,33.7086,33.9005,33.5779,33.9005,877304
2010-01-19,33.9005,34.859,33.8481,34.859,5974359
2010-01-20,34.859,35.4952,34.772,35.1205,2908728
2010-01-21,35.1205,35.347,34.6934,35.2512,2612867
2010-01-22,34.5191,34.9027,34.432,34.6412,4207485
2010-01-25,34.6934,35.2512,34.5453,35.0769,5708355
2010-01-26,34.8155,34.9724,34.1619,34.3362,5820788
2010-01-27,34.3362,34.7632,34.249,34.3362,2643182
2010-01-28,34.859,34.9549,34.3362,34.3623,2707653
2010-01-29,34.3338,34.4883,33.9883,34.2065,2663568
2010-02-01,33.9876,34.2055,33.9005,33.9876,1623713
2010-02-02,34.2055,34.2055,33.8219,33.9876,2159434
2010-02-03,34.2055,34.4669,33.9614,34.3274,2002588
2010-02-04,34.3187,34.3187,32.506,32.506,2653313
2010-02-05,31.8089,32.0703,30.554,30.554,3933901
2010-02-08,30.9374,31.6694,30.6498,30.6498,3240568
2010-02-09,31.2424,31.5649,31.1117,31.1553,2962469
2010-02-10,31.3731,31.9221,31.1988,31.4603,3211096
2010-02-11,31.7217,31.8001,30.6149,30.6934,1860726
2010-02-12,31.3644,31.7827,31.1988,31.6346,3044990
2010-02-15,31.8961,33.3775,31.7217,33.2468,4453574
2010-02-16,33.3949,33.761,32.5322,32.7413,2425927
2010-02-17,33.4647,33.4996,33.029,33.2817,1979774
2010-02-18,32.7239,33.0202,32.0791,32.297,3145225
2010-02-19,31.9831,32.7327,31.8176,32.1575,1174678
2010-02-22,32.7501,32.7849,32.2359,32.3318,734183
2010-02-23,32.2446,32.4189,31.6607,31.6607,1414626
2010-02-24,31.6519,31.9396,31.4341,31.469,966932
2010-02-25,31.5649,31.7217,30.5453,30.9113,7161250
2010-02-26,30.9897,32.0703,30.8502,32.0355,3623812
2010-03-01,32.2446,32.5845,31.8001,32.4189,1013312
2010-03-02,32.323,33.5344,31.835,32.8895,3455551
2010-03-03,33.0725,33.4298,32.4625,32.8546,1577662
2010-03-04,32.8459,33.3601,32.5322,33.1161,1644752
2010-03-05,33.2032,33.3689,32.9592,33.1161,1202443
2010-03-08,33.3514,33.4298,33.029,33.3775,1792248
2010-03-09,33.2904,33.2904,32.8111,33.2468,1532188
2010-03-10,32.9854,33.5256,32.9418,33.2468,1086674
2010-03-11,33.1161,33.4124,32.7327,32.9418,1994313
2010-03-12,33.0725,33.7,32.9941,33.212,2895389
2010-03-15,33.0813,33.4734,33.0813,33.2904,4616442
2010-03-16,33.2992,34.0572,33.212,34.0485,2553418
2010-03-17,34.4233,34.859,34.2055,34.5104,2645858
2010-03-18,34.5104,34.8503,34.0921,34.5541,2657881
2010-03-19,34.5976,34.9462,33.9005,34.6848,7525454
2010-03-22,34.6412,34.6412,33.5954,33.8568,2665003
2010-03-23,33.9788,34.3362,33.8133,34.3362,2671297
2010-03-24,34.4233,34.6848,33.8917,33.9005,1596381
2010-03-25,34.2839,34.981,34.1095,34.981,2021740
2010-03-26,34.5104,35.0334,34.4233,34.9375,1995635
2010-03-29,34.6934,35.0334,34.3884,34.5104,1007081
2010-03-30,34.6848,34.859,34.5191,34.8416,1151624
